cbo,description,family_id
010105,Oficial general da aeronáutica,0101
010110,Oficial general do exército,0101
010115,Oficial general da marinha,0101
010205,Oficial da aeronáutica,0102
010210,Oficial do exército,0102
010215,Oficial da marinha,0102
010305,Praça da aeronáutica,0103
010310,Praça do exército,0103
010315,Praça da marinha,0103
020105,Coronel da polícia militar,0201
020110,Tenente-coronel da polícia militar,0201
020115,Major da polícia militar,0201
020205,Capitão da polícia militar,0202
020305,Primeiro tenente de polícia militar,0203
020310,Segundo tenente de polícia militar,0203
021105,Subtenente da policia militar,0211
021110,Sargento da policia militar,0211
021205,Cabo da polícia militar,0212
021210,Soldado da polícia militar,0212
030105,Coronel bombeiro militar,0301
030110,Major bombeiro militar,0301
030115,Tenente-coronel bombeiro militar,0301
030205,Capitão bombeiro militar,0302
030305,Tenente do corpo de bombeiros militar,0303
031105,Subtenente bombeiro militar,0311
031110,Sargento bombeiro militar,0311
031205,Cabo bombeiro militar,0312
031210,Soldado bombeiro militar,0312
111105,Senador,1111
111110,Deputado federal,1111
111115,Deputado estadual e distrital,1111
111120,Vereador,1111
111205,Presidente da república,1112
111210,Vice-presidente da república,1112
111215,Ministro de estado,1112
111220,Secretário - executivo,1112
111225,Membro superior do poder executivo,1112
111230,Governador de estado,1112
111235,Governador do distrito federal,1112
111240,Vice-governador de estado,1112
111245,Vice-governador do distrito federal,1112
111250,Prefeito,1112
111255,Vice-prefeito,1112
111305,Ministro do supremo tribunal federal,1113
111310,Ministro do superior tribunal de justiça,1113
111315,Ministro do  superior tribunal militar,1113
111320,Ministro do  superior tribunal do trabalho,1113
111325,Juiz de direito,1113
111330,Juiz federal,1113
111335,Juiz auditor federal - justiça militar,1113
111340,Juiz auditor estadual - justiça militar,1113
111345,Juiz do trabalho,1113
111405,Dirigente do serviço público federal,1114
111410,Dirigente do serviço público estadual e distrital,1114
111415,Dirigente do serviço público municipal,1114
111505,Especialista de políticas públicas e gestão governamental - eppgg,1115
111510,Analista de planejamento e orçamento - apo,1115
113005,Cacique,1130
113010,Líder de comunidade caiçara,1130
113015,Membro de liderança quilombola,1130
114105,Dirigente de partido político,1141
114205,Dirigente de entidade de trabalhadores,1142
114210,Dirigente de entidade patronal,1142
114305,Dirigente e administrador de organização religiosa,1143
114405,Dirigente e administrador de organização da sociedade civil sem fins lucrativos,1144
121005,Diretor de planejamento estratégico,1210
121010,Diretor geral de empresa e organizações (exceto de interesse público),1210
122105,Diretor de produção e operações em empresa agropecuária,1221
122110,Diretor de produção e operações em empresa aqüícola,1221
122115,Diretor de produção e operações em empresa florestal,1221
122120,Diretor de produção e operações em empresa pesqueira,1221
122205,"Diretor de produção e operações da indústria de transformação, extração mineral e utilidades",1222
122305,Diretor de operações de obras pública e civil,1223
122405,Diretor de operações comerciais (comércio atacadista e varejista),1224
122505,Diretor de  produção e operações de alimentação,1225
122510,Diretor de  produção e operações de hotel,1225
122515,Diretor de  produção e operações de turismo,1225
122520,Turismólogo,1225
122605,Diretor de operações de correios,1226
122610,Diretor de operações de serviços de armazenamento,1226
122615,Diretor de operações de serviços de telecomunicações,1226
122620,Diretor de operações de serviços de transporte,1226
122705,Diretor comercial em operações de intermediação financeira,1227
122710,Diretor de produtos bancários,1227
122715,Diretor de crédito rural,1227
122720,Diretor de câmbio e comércio exterior,1227
122725,Diretor de compliance,1227
122730,Diretor de crédito (exceto crédito imobiliário),1227
122735,Diretor de crédito imobiliário,1227
122740,Diretor de leasing,1227
122745,Diretor de mercado de capitais,1227
122750,Diretor de recuperação de créditos em operações de intermediação financeira,1227
122755,Diretor de riscos de mercado,1227
123105,Diretor administrativo,1231
123110,Diretor administrativo e financeiro,1231
123115,Diretor financeiro,1231
123205,Diretor de recursos humanos,1232
123210,Diretor de relações de trabalho,1232
123305,Diretor comercial,1233
123310,Diretor de marketing,1233
123405,Diretor de suprimentos,1234
123410,Diretor de suprimentos no serviço público,1234
123605,Diretor de tecnologia da informação,1236
123705,Diretor de pesquisa e desenvolvimento (p&d),1237
123805,Diretor de manutenção,1238
131105,Diretor de serviços culturais,1311
131110,Diretor de serviços sociais,1311
